best_for,communication_mode,decision_method,facilitated,governance_contribution,id,issue_interdependency,issue_polarization,issue_technical_complexity,kind_of_influence,method_of_interaction,original_language,post_date,public_interaction_method,published,typical_funding_source,typical_sponsoring_entity,updated_date
,Express opinions/preferences only,,No,Implementation,4344,,,,Co-governance (i.e. to share decision making with public authorities),Proposed Initiatives,en,2016-04-16T22:09:37,,Yes,International Organization,International Organization,2016-05-29T00:25:42
Achieving Public Goods,Discussion,Consensus,No,Agenda Formation,4345,,,,Consultation (i.e. to advise decision makers),,en,2016-04-18T20:42:11,,Yes,"Local Government (e.g. Village, Town, City)","Local Government (e.g. Village, Town, City)",2016-08-09T18:08:47
,,,No,,4349,,,,,,es,2016-04-26T08:27:52,,Yes,,,2016-04-26T08:27:52
Providing Social Goods,Discussion,,No,Preference Articulation,4352,,,,Community building (e.g. social capital),,en,2016-04-30T15:47:25,,Yes,"Local Government (e.g. Village, Town, City)","Local Government (e.g. Village, Town, City)",2016-04-30T15:47:25
,,,No,,4357,,,,,,en,2016-05-03T11:24:09,,Yes,,,2016-08-06T22:15:07
,Dialogue,,Yes,,4380,,,,,,en,2016-05-16T07:59:38,,Yes,,,2016-05-16T16:14:39
,,,No,,4381,,,,,,en,2016-05-16T15:16:07,,Yes,,,2016-05-16T16:24:29
,,,No,,4395,,,,,,pt,2016-05-25T11:33:40,,Yes,,,2016-05-25T11:33:40
Achieving Public Goods,,they made it through voting,No,Co-Production,4400,3 - Sometimes Interdependent on Other Issues,3 - Somewhat Polarized,3 - Somewhat Complex,,,pt,2016-05-26T11:59:05,press office,Yes,"Local Government (e.g. Village, Town, City)","Local Government (e.g. Village, Town, City)",2016-06-02T10:02:49
,,,No,,4403,,,,,,pt,2016-05-26T12:24:56,,Yes,,,2016-05-26T12:26:17
,,,No,,4413,,,,,,en,2016-06-05T08:56:02,,Yes,,,2016-06-05T08:56:02
,,,No,,4419,,,,,,en,2016-06-06T20:46:09,,Yes,,,2016-06-06T20:46:09
Addressing Identity-Based Issues,Organized Demonstrations,,No,Preference Articulation,4426,,,,Raise public awareness,,en,2016-06-15T22:28:31,Community Organizing,Yes,Not Applicable,Non-Governmental Organization (Non-profit),2016-06-15T22:29:21
,Other,,No,,4434,,,,Community building (e.g. social capital),,en,2016-06-20T06:25:41,,Yes,Not Applicable,Not Applicable,2016-06-20T06:25:41
Addressing Identity-Based Issues,Informal Social Activities,,No,,4451,,,,"Develop individual capacities (e.g. skills, learning)",,en,2016-06-25T21:53:22,,Yes,Community Based Organization,Philanthropic Organization (i.e. dedicated to making monetary grants or gifts),2016-06-25T22:04:37
Achieving Public Goods,Discussion,N/A,No,,4467,,,,"Develop individual capacities (e.g. skills, learning)",deliberation,en,2016-07-05T05:27:12,Feedback may be provided to community engagement organisers if the meeting is related to a specific project,Yes,,Non-Governmental Organization (Non-profit),2016-07-05T06:28:50
Distributing Individual Material Goods,Discussion,,Yes,Implementation,4546,,,,"Develop individual capacities (e.g. skills, learning)",,en,2016-08-16T16:43:27,Information sessions,Yes,"Local Government (e.g. Village, Town, City)","Local Government (e.g. Village, Town, City)",2016-08-16T16:43:27
,,,No,,4526,,,,,,en,2016-08-01T16:22:44,,Yes,,,2016-08-01T17:17:03
Achieving Public Goods,Dialogue,,Yes,Agenda Formation,4534,,,,Consultation (i.e. to advise decision makers),,en,2016-08-09T20:43:54,,Yes,International Organization,"Regional Government (e.g. State, Provincial, Territorial)",2016-08-09T20:46:27
Achieving Public Goods,or Deliberation,,Yes,Preference Articulation,4537,5 - Always Tied to Other Issues,4 - Polarized,5 - Highly Complex,,listening,en,2016-08-10T06:02:28,,Yes,,,2016-08-12T03:00:40
