body,language,organization_id,title
<h3>Mission and Purpose</h3><p>By utiliz,en,4194,EcoMap India
<h3>Mission and Purpose</h3><p><strong>T,en,4187,the Danish Board of Technology Foundation (DBT)
"<h3>Mission and Purpose</h3><p><a href=""",en,4219,Urban Interactive Studio
,en,4281,SustainableJersey
"<p>This two-year research project, cover",en,4282,New forms of participation in Finland - research project
<p>In the last decades we have been expe,en,4290,Procedere
<h4>About CitizenLab</h4>CitizenLab is a,en,4294,CitizenLab
<h3>Mission and Purpose</h3><p>Communica,en,4306,Communica Public Affairs
"<h3 dir=""ltr"">Problems and Purpose</h3><",en,4308,YouthDebates.Org
<h3>Mission and Purpose</h3><p>UNITY was,en,4310,United National Indian Youth (UNITY)
<h3>Mission and Purpose</h3><p>UNDP work,en,4312,United Nations Development Programme (UNDP)
<h3>Mission and Purpose</h3><p> </p><h3>,en,4315,Democracia en Red
<h3>Mission and Purpose</h3><p>Vouliwatc,en,4316,Vouliwatch
<p><strong>Organization</strong>: Tanqee,en,4518,Tanqeed
<h3>Mission and Purpose</h3><p><em><stro,en,4320,SimSim-Participation Citoyenne
"<h3>Mission and Purpose</h3><p dir=""ltr""",en,4323,Grassroots Jerusalem
<h3>Mission and Purpose</h3><p>RESOLVE b,en,4325,RESOLVE
<h3>Mission and Purpose</h3><p>The World,en,4329,The World Bank
<p><strong>PARTICITIZ</strong> is a netw,en,4330,Particitiz - Participation and Citizenship
"<p><em>Note: this is a stub, please help",en,4347,Laboratorio Urbano Aperto (LUA) - Open Urban Laboratory  
<p>The following is a suggested structur,en,4348,Taller de Diseño Colaborativo
<p> </p><h3>Mission and Purpose</h3><p>T,en,4356,Black Sash
<p> </p><h3>Mission and Purpose</h3><p>C,en,4358,Code for South Africa
<p> </p><h3>Mission and Purpose</h3><p>M,en,4359,Making All Voices Count (MAVC)
<p> </p><h3>Mission and Purpose</h3><p>T,en,4360,Social Justice Coalition (SJC)
<p><em>Note: this article is a stub. Ple,en,4371,Sociolab
"<h3>Mission and Purpose</h3><p>""To keep ",en,4373,OpenMedia
<p><em>Note: the following article is a ,en,4376,The Pew Center for Civic Journalism
<p>Note: the following article is a stub,en,4377,The Participatory Budgeting Project
"<p align=""center""> Design For Change</p>",en,4382,Design For Change
<p>Note: the following article is a stub,en,4388,Jacques Delors Institute (Notre Europe)
<p><em>Note: the following article is a ,en,4428,The Guelph Neigbourhood Support Coalition
"<h2>Mission and Purpose <img alt="""" src=",en,4405,Movimento  dos Trabalhadores Rurais Sem-Terra (MST)
"<p><img alt="""" src=""http://i.imgur.com/b",en,4406,Via Campesina
<p><em>Note: this entry is a stub. Pleas,en,4407,Binary Objects GmbH
<p>Note: the following article is a stub,en,4411,Roots of Change
<h3>Mission and Purpose</h3><p>Without m,en,4416,Without my Consent
<p>The following is a suggested structur,en,4420,Ministério Público Federal 
<p><em>Note: the following article is a ,en,4427,Free Software Foundation
<p>The following information has been su,en,4497,OurSay
<p><em>Note: the following article is a ,en,4456,21st Century Dialogue
<p><em>Note: the following article is a ,en,4453,Straight Talk
<p><em>Note: the following article is a ,en,4454,Simply Speaking Seanachai
<p><em>Note: the following article is a ,en,4455,MosaicLab
<p><em>Note: the following article is a ,en,4457,Delib
<p><em>Note: the following article is a ,en,4439,UNICEF
<p><em>Note: the following article is a ,en,4452,YouGov
<p><em>Note: the following article is a ,en,4468,CUTS International (Consumer Unity & Trust Society) 
<p><em>Note: the following article is a ,en,4462,Annie Bolitho & Associates
<p> <strong>Problem</strong></p><p>Thoug,en,4480,The Second Floor Cafe
<p><strong>History and Mission</strong><,en,4487,Pakistan Institute for Legislative Development and Transparency 
"<p align=""center""> </p><p align=""center""",en,4516,Women's Action Forum (WAF)
<p><strong>Organization</strong>: Awami ,en,4519,Awami Workers Party
<p><strong>Organization</strong>: Streng,en,4520,Strengthening Participatory Organizations (SPO)
<p><em>Note: the following article is a ,en,4521,Chit Chat
<p>The following is a suggested structur,en,4522,Out of the Box Consulting 
<p><em>Note: the following article is a ,en,4523,Firelight Consulting
<p>The following entry has been summaris,en,4536,Democracy Co
<p><strong>Mission and Purpose</strong><,en,4540,All-Pakistani Alliance for Katchi Abadis
<h3>Mission and Purpose</h3><p> </p><h3>,en,4541,Still Moon Arts Society
<h3>Mission and Purpose</h3><h3> </h3><h,en,4544,Evergreen Foundation 
<p><em>The following article is incomple,en,4555,Bang the Table
<h3>Aufgabe und Zweck</h3><p>Sammlung vo,en,4560,partizipendium.de - Der Bürgerbeteiligungs-Blog
