communication_mode,communication_with_audience,content_country,decision_method,end_date,facetoface_online_or_both,facilitated,id,issue,kind_of_influence,location,number_of_meeting_days,ongoing,original_language,participant_selection,post_date,published,specific_topic,staff_type,start_date,targeted_audience,targeted_participant_demographic,targeted_participants_public_role,total_number_of_participants,type_of_funding_entity,typical_implementing_entity,typical_sponsoring_entity,updated_date,voting,who_else_supported_the_initiative,who_was_primarily_responsible_for_organizing_the_initiative
Express opinions/preferences only,Other,Chile,Not Applicable,,facetoface,No,93,Community Development,Community building (e.g. social capital),92,,No,es,Open to all,2011-06-01T05:01:43,Yes,Protest of Highway Project,,,Appointed Public Servants (e.g. bureaucrats),General Public,Lay Public,,Non-Governmental Organization (Non-profit),Non-Governmental Organization (Non-profit),"Local Government (e.g. Village, Town, City)",2016-05-26T19:36:23,none,,
Express opinions/preferences only,Policy Recommendations,Italy,Opinion Survey,,both,Yes,94,Budgeting,Co-governance (i.e. to share decision making with public authorities),93,,No,en,Open to all with targeted recruitment,2011-06-08T21:02:15,Yes,Municipal Participatory Budgeting,,,Elected Public Official,General Public,Elected Public Official,526,"Local Government (e.g. Village, Town, City)","Local Government (e.g. Village, Town, City)","Local Government (e.g. Village, Town, City)",2016-05-30T01:24:41,preferential,,
Formal Testimony,Policy Recommendations,Mongolia,Not Applicable,,facetoface,No,95,Economic Development,Consultation (i.e. to advise decision makers),94,,Yes,en,Open to all,2011-06-09T17:08:51,Yes,Civic Engagement and Citizenship Education,Legislators and drafters,2009-08-31T16:00:00,Elected Public Official,General Public,Elected Public Official,,National Government,National Government,National Government,2016-05-27T21:33:37,none,,1151
Discussion,Policy Recommendations,Italy,Opinion Survey,,facetoface,Yes,96,"Planning (e.g. Urban planning, Transportation, etc.)",Consultation (i.e. to advise decision makers),95,,No,en,Other,2011-06-12T23:36:11,Yes,Municipal Participatory Planning,staff_type,2004-02-27T16:00:00,Elected Public Official,General Public,"Stakeholder Organizations (e.g. NGOs, Neighbourhood Associations, Industry Representatives)",,"Local Government (e.g. Village, Town, City)","Local Government (e.g. Village, Town, City)","Local Government (e.g. Village, Town, City)",2016-05-30T00:49:45,none,,
Discussion,Policy Recommendations,Italy,Getting sense of room/group (i.e. no formal voting),2009-07-31T15:00:00,facetoface,Yes,97,Community Development,Co-governance (i.e. to share decision making with public authorities),96,3,No,en,Random Selection,2011-06-13T00:47:54,Yes,Cultural and Historical Conservation,social,2009-02-01T09:00:00,Elected Public Official,General Public,"Stakeholder Organizations (e.g. NGOs, Neighbourhood Associations, Industry Representatives)",300,"Local Government (e.g. Village, Town, City)","Local Government (e.g. Village, Town, City)",For Profit Business,2016-05-30T01:02:58,none,SWG Polling Firm,
Discussion,Public Hearings/Meetings,Italy,Voting,2009-11-19T20:00:00,facetoface,Yes,98,Budgeting,Co-governance (i.e. to share decision making with public authorities),97,12,No,en,Open to all,2011-06-13T02:05:17,Yes,Municipal Participatory Budgeting,,2009-07-15T18:00:00,Elected Public Official,General Public,Lay Public,,"Regional Government (e.g. State, Provincial, Territorial)",For Profit Business,,2016-05-07T16:29:11,none,,4371
Express opinions/preferences only,Public Report,Argentina,Getting sense of room/group (i.e. no formal voting),,facetoface,Yes,99,Budgeting,Co-governance (i.e. to share decision making with public authorities),98,,Yes,es,Election,2011-06-13T19:18:08,Yes,Municipal Participatory Budgeting,,1969-12-31T16:00:00,Elected Public Official,Youth,Lay Public,,"Local Government (e.g. Village, Town, City)",,"Local Government (e.g. Village, Town, City)",2016-05-29T15:48:19,none,,
Express opinions/preferences only,Public Hearings/Meetings,France,Getting sense of room/group (i.e. no formal voting),,facetoface,No,100,"Planning (e.g. Urban planning, Transportation, etc.)",Raise public awareness,99,,Yes,en,Open to all,2011-06-14T18:47:04,Yes,Multi-Level Governance,,,Appointed Public Servants (e.g. bureaucrats),General Public,Lay Public,,"Local Government (e.g. Village, Town, City)","Local Government (e.g. Village, Town, City)","Local Government (e.g. Village, Town, City)",2016-05-06T15:19:26,none,,
Dialogue,Public Hearings/Meetings,Italy,Getting sense of room/group (i.e. no formal voting),2006-01-21T17:00:00,facetoface,Yes,101,"Planning (e.g. Urban planning, Transportation, etc.)",Consultation (i.e. to advise decision makers),100,5,No,en,Open to all with targeted recruitment,2011-06-16T00:49:25,Yes,Municipal Participatory Planning,Facilitators,2005-10-27T09:00:00,General Public,General Public,Lay Public,,"Local Government (e.g. Village, Town, City)","Local Government (e.g. Village, Town, City)",Academic Institution,2016-05-29T15:41:56,none,Studio Manfredini ,
Dialogue,Public Report,Italy,Getting sense of room/group (i.e. no formal voting),2009-10-27T17:00:00,facetoface,Yes,102,Economic Development,Raise public awareness,101,27,No,en,Open to all,2011-06-16T01:16:44,Yes,public policy forum,Facilitators,2009-03-27T09:00:00,Elected Public Official,General Public,"Stakeholder Organizations (e.g. NGOs, Neighbourhood Associations, Industry Representatives)",343,"Regional Government (e.g. State, Provincial, Territorial)","Regional Government (e.g. State, Provincial, Territorial)","Local Government (e.g. Village, Town, City)",2016-05-04T15:59:31,none,,
Story-Telling,Policy Recommendations,Chile,Opinion Survey,,facetoface,,103,"Planning (e.g. Urban planning, Transportation, etc.)",Collaborative delivery of services with public authorities,102,,Yes,es,Election,2011-06-17T11:51:22,Yes,Municipal Participatory Planning,Consejo Vecinal de Desarrollo (CVD),,Elected Public Official,Low-Income Earners,Lay Public,,National Government,"Regional Government (e.g. State, Provincial, Territorial)",Community Based Organization,2016-05-06T15:09:06,none,,
Formal Testimony,Public Hearings/Meetings,Italy,Voting,2009-09-15T20:00:00,facetoface,Yes,104,Budgeting,Community building (e.g. social capital),103,,Yes,en,Open to all with targeted recruitment,2011-06-21T15:37:23,Yes,Municipal Participatory Budgeting,,2009-05-20T20:00:00,Appointed Public Servants (e.g. bureaucrats),General Public,"Experts (e.g. Scientists, Engineers, Criminologists, Doctors, Lawyers)",,"Local Government (e.g. Village, Town, City)",For Profit Business,"Regional Government (e.g. State, Provincial, Territorial)",2016-05-03T21:01:16,preferential,Regional Participatory Authority of Tuscany,
Dialogue,Public Hearings/Meetings,France,Getting sense of room/group (i.e. no formal voting),2011-02-19T17:00:00,facetoface,Yes,105,Community Development,Raise public awareness,104,2,No,fr,Open to all,2011-06-21T15:47:04,Yes,Q&amp;A With Public Officials,,2011-02-18T09:00:00,Appointed Public Servants (e.g. bureaucrats),General Public,"Stakeholder Organizations (e.g. NGOs, Neighbourhood Associations, Industry Representatives)",2274,"Local Government (e.g. Village, Town, City)","Local Government (e.g. Village, Town, City)",Community Based Organization,2016-05-25T16:23:45,none,,
Discussion,Policy Recommendations,Italy,Getting sense of room/group (i.e. no formal voting),2009-09-25T17:00:00,facetoface,Yes,106,Environment,Community building (e.g. social capital),105,3,No,it,Open to all,2011-06-21T20:37:14,Yes,Sustainable Development,Professionals,2009-05-19T09:00:00,Elected Public Official,General Public,Lay Public,200,"Local Government (e.g. Village, Town, City)",For Profit Business,"Local Government (e.g. Village, Town, City)",2016-05-27T21:53:23,none,,
Dialogue,Public Hearings/Meetings,Italy,Voting,2010-07-20T20:30:00,facetoface,Yes,107,Economic Development,Community building (e.g. social capital),106,3,No,it,Open to all with targeted recruitment,2011-06-21T21:27:10,Yes,Comprehensive Long-term Municipal Development Plan,Professionals,2010-07-06T17:30:00,Elected Public Official,General Public,Elected Public Official,69,International Organization,Non-Governmental Organization (Non-profit),National Government,2016-05-27T21:50:55,preferential,Department of Public Functions of the Ministry for Public Administration and Innovation,
or Deliberation,Public Hearings/Meetings,Italy,Opinion Survey,,facetoface,Yes,108,Identity &amp; Diversity,Consultation (i.e. to advise decision makers),107,,No,en,Open to all,2011-06-22T02:49:54,Yes,Comprehensive Long-term Municipal Development Plan,,,General Public,Eldlerly,"Experts (e.g. Scientists, Engineers, Criminologists, Doctors, Lawyers)",,"Regional Government (e.g. State, Provincial, Territorial)","Local Government (e.g. Village, Town, City)","Local Government (e.g. Village, Town, City)",2016-05-03T21:38:42,none,Municipality of Castel San Niccolo,
Discussion,Public Hearings/Meetings,Chile,Getting sense of room/group (i.e. no formal voting),2008-12-31T16:00:00,facetoface,No,109,"Planning (e.g. Urban planning, Transportation, etc.)",Raise public awareness,108,,No,es,Open to all,2011-06-14T00:15:07,Yes,Sustainable Urban Development,,2006-12-31T16:00:00,General Public,General Public,Lay Public,,"Local Government (e.g. Village, Town, City)","Local Government (e.g. Village, Town, City)",National Government,2016-05-29T15:53:03,none,Community Economic and Social Council,
Dialogue,Public Report,Australia,Other,2013-10-30T23:00:00,facetoface,Yes,4364,Criminal Justice,Consultation (i.e. to advise decision makers),109,6,No,en,Random Selection,2016-05-05T02:38:32,Yes,Public Safety,,2013-06-30T16:00:00,Appointed Public Servants (e.g. bureaucrats),General Public,Lay Public,43,"Regional Government (e.g. State, Provincial, Territorial)",Non-Governmental Organization (Non-profit),,2016-07-25T20:14:48,supermajority,,216
Organized Demonstrations,"New Media (i.e. internet, texting, etc)",Chile,Getting sense of room/group (i.e. no formal voting),,facetoface,Yes,110,Community Development,Make public decisions (i.e. exert direct authority),110,,Yes,en,Open to all with targeted recruitment,2011-06-22T19:58:45,Yes,Participatory Urban Regeneration,15 individuals each direct one or more of the organization&#039;s projects,2005-06-01T09:00:00,Elected Public Official,Other,Lay Public,,Philanthropic Organization (i.e. dedicated to making monetary grants or gifts),Community Based Organization,Community Based Organization,2016-05-02T16:21:58,consensus,,
or Deliberation,Policy Recommendations,Canada,Other,2009-05-30T00:00:00,facetoface,Yes,111,Health,Consultation (i.e. to advise decision makers),111,4,No,en,Random Selection,2010-04-10T00:25:30,Yes,Healthcare Spending Priorities,,2009-02-01T00:00:00,General Public,General Public,Lay Public,36,"Regional Government (e.g. State, Provincial, Territorial)","Regional Government (e.g. State, Provincial, Territorial)","Regional Government (e.g. State, Provincial, Territorial)",2016-07-07T17:48:47,none,,
Dialogue,Policy Recommendations,United States,Getting sense of room/group (i.e. no formal voting),2010-06-26T17:00:00,facetoface,Yes,112,Community Development,Community building (e.g. social capital),112,,No,en,Other,2011-06-24T01:02:21,Yes,Urban Redevelopment,,2010-02-27T09:00:00,Elected Public Official,General Public,"Stakeholder Organizations (e.g. NGOs, Neighbourhood Associations, Industry Representatives)",,"Local Government (e.g. Village, Town, City)",For Profit Business,Individual,2016-05-02T15:48:30,none,,
Discussion,Public Hearings/Meetings,Italy,Getting sense of room/group (i.e. no formal voting),2010-02-27T17:00:00,facetoface,Yes,113,Environment,Consultation (i.e. to advise decision makers),113,,No,it,Open to all,2011-06-29T22:04:16,Yes,Environmental Protection,Professionals,,General Public,General Public,"Experts (e.g. Scientists, Engineers, Criminologists, Doctors, Lawyers)",505,"Regional Government (e.g. State, Provincial, Territorial)","Local Government (e.g. Village, Town, City)",Community Based Organization,2016-05-27T22:00:02,none,,
Informal Social Activities,"New Media (i.e. internet, texting, etc)",Italy,Getting sense of room/group (i.e. no formal voting),,both,Yes,114,"Planning (e.g. Urban planning, Transportation, etc.)",Co-governance (i.e. to share decision making with public authorities),114,,No,en,Open to all,2011-07-05T20:56:43,Yes,Urban Restoration,City Staff,,Elected Public Official,General Public,Elected Public Official,,"Local Government (e.g. Village, Town, City)",Community Based Organization,Academic Institution,2016-05-01T21:34:41,consensus,Politechnique of Milan,
or Deliberation,"New Media (i.e. internet, texting, etc)",Italy,Opinion Survey,2007-12-03T17:00:00,facetoface,Yes,115,Health,Consultation (i.e. to advise decision makers),115,1,No,en,Random Selection,2011-07-05T21:18:15,Yes,Long-term Regional Budget,Public officials,2007-12-03T09:00:00,Appointed Public Servants (e.g. bureaucrats),General Public,"Experts (e.g. Scientists, Engineers, Criminologists, Doctors, Lawyers)",150,Other,Academic Institution,"Regional Government (e.g. State, Provincial, Territorial)",2016-05-01T22:07:06,none,,318
Dialogue,"Traditional Media (i.e. television, radio, newspapers)",Italy,Getting sense of room/group (i.e. no formal voting),2008-04-02T17:00:00,,Yes,116,Budgeting,Consultation (i.e. to advise decision makers),116,,No,it,Open to all with targeted recruitment,2011-07-06T06:58:46,Yes,Municipal Participatory Budgeting,Professionals,2007-09-25T09:00:00,Elected Public Official,General Public,Lay Public,,"Local Government (e.g. Village, Town, City)","Local Government (e.g. Village, Town, City)","Local Government (e.g. Village, Town, City)",2016-05-29T15:31:40,none,,
or Deliberation,Policy Recommendations,United States,Voting,2005-10-31T16:00:00,facetoface,Yes,117,Community Development,Raise public awareness,117,,No,en,Open to all with targeted recruitment,2011-07-10T22:13:53,Yes,Multi-Level Governance,Civil Servants,1999-11-18T18:30:00,Elected Public Official,General Public,Lay Public,,"Local Government (e.g. Village, Town, City)",Non-Governmental Organization (Non-profit),Individual,2016-05-01T16:06:31,preferential,Mayor Anthony Williams,199
Discussion,Policy Recommendations,Italy,Opinion Survey,,facetoface,Yes,118,Budgeting,Co-governance (i.e. to share decision making with public authorities),118,,No,en,Open to all,2011-07-13T16:37:00,Yes,Municipal Participatory Budgeting,Experts from the University of Venice,,Elected Public Official,General Public,Lay Public,142,"Local Government (e.g. Village, Town, City)",Academic Institution,"Local Government (e.g. Village, Town, City)",2016-05-29T15:23:43,preferential,,
Discussion,"New Media (i.e. internet, texting, etc)",Italy,Getting sense of room/group (i.e. no formal voting),2010-01-31T17:00:00,both,Yes,119,Environment,Raise public awareness,119,,No,en,Other,2011-07-13T16:54:06,Yes,Long-term Environmental Protection Plan,Facilitator,2009-09-15T09:00:00,General Public,General Public,"Stakeholder Organizations (e.g. NGOs, Neighbourhood Associations, Industry Representatives)",72,"Regional Government (e.g. State, Provincial, Territorial)",Academic Institution,Community Based Organization,2016-05-29T15:23:01,none,,
Dialogue,Public Hearings/Meetings,Italy,Voting,2010-02-28T20:00:00,both,Yes,120,Budgeting,Co-governance (i.e. to share decision making with public authorities),120,4,No,en,Random Selection,2011-07-13T16:58:35,Yes,Youth Participatory Budgeting,City staff,2016-11-11T17:00:00,Elected Public Official,Youth,Lay Public,59,"Regional Government (e.g. State, Provincial, Territorial)","Local Government (e.g. Village, Town, City)","Local Government (e.g. Village, Town, City)",2016-04-28T16:10:30,none,,
or Deliberation,Public Hearings/Meetings,Italy,Getting sense of room/group (i.e. no formal voting),2008-02-06T22:30:00,facetoface,Yes,121,"Planning (e.g. Urban planning, Transportation, etc.)",Consultation (i.e. to advise decision makers),121,5,No,en,Open to all,2011-07-13T17:15:35,Yes,Municipal Participatory Planning,Coordinator,2008-01-19T15:30:00,Elected Public Official,General Public,Lay Public,70,"Local Government (e.g. Village, Town, City)","Local Government (e.g. Village, Town, City)","Local Government (e.g. Village, Town, City)",2016-05-01T15:27:26,none,,
Listen/watch as spectator,Public Hearings/Meetings,Italy,Getting sense of room/group (i.e. no formal voting),,facetoface,Yes,122,Economic Development,Consultation (i.e. to advise decision makers),122,,No,en,Open to all with targeted recruitment,2011-07-13T17:36:46,Yes,Commercial Enterprises,City staff,,Elected Public Official,General Public,Lay Public,,"Local Government (e.g. Village, Town, City)","Local Government (e.g. Village, Town, City)","Local Government (e.g. Village, Town, City)",2016-04-28T15:44:12,consensus,,
Discussion,Public Report,Italy,Voting,2007-06-23T16:00:00,facetoface,No,123,"Planning (e.g. Urban planning, Transportation, etc.)",Consultation (i.e. to advise decision makers),123,,Yes,en,Open to all,2011-07-13T17:44:48,Yes,Urban Redesign,City staff,2005-03-23T09:00:00,Elected Public Official,General Public,"Stakeholder Organizations (e.g. NGOs, Neighbourhood Associations, Industry Representatives)",,International Organization,"Local Government (e.g. Village, Town, City)","Local Government (e.g. Village, Town, City)",2016-05-29T15:21:47,consensus,,
Discussion,"New Media (i.e. internet, texting, etc)",Germany,Other,2011-09-19T17:00:00,online,No,124,Other,Co-governance (i.e. to share decision making with public authorities),124,,Yes,en,Open to all,2011-08-05T20:32:58,Yes,Labor and Economy in the Digital Society,,2011-08-03T17:00:00,Elected Public Official,General Public,Lay Public,30,Other,Other,Other,2016-04-27T22:14:06,none,,
Discussion,Public Report,Italy,Getting sense of room/group (i.e. no formal voting),,facetoface,Yes,125,"Planning (e.g. Urban planning, Transportation, etc.)",Consultation (i.e. to advise decision makers),125,,No,en,Open to all with targeted recruitment,2011-08-12T04:14:49,Yes,Municipal Participatory Planning,Facilitators,,Elected Public Official,General Public,"Stakeholder Organizations (e.g. NGOs, Neighbourhood Associations, Industry Representatives)",1000,"Local Government (e.g. Village, Town, City)","Local Government (e.g. Village, Town, City)",Academic Institution,2016-04-27T16:10:25,none,,
or Deliberation,Public Hearings/Meetings,United States,Getting sense of room/group (i.e. no formal voting),,facetoface,Yes,126,Community Development,Community building (e.g. social capital),126,,Yes,en,Open to all with targeted recruitment,2011-08-16T22:24:37,Yes,Community Capacity-building,,,General Public,General Public,"Experts (e.g. Scientists, Engineers, Criminologists, Doctors, Lawyers)",,,Individual,Non-Governmental Organization (Non-profit),2016-08-22T16:15:37,none,,313
Discussion,Public Report,United States,Getting sense of room/group (i.e. no formal voting),,facetoface,No,127,Education &amp; Schools,Direct delivery of public services (i.e. by entities other than government),127,,No,en,Open to all,2011-08-18T20:11:43,Yes,Educational Reform,,,Other,General Public,Other,,Other,Other,Other,2016-04-27T15:19:06,none,,
or Deliberation,Public Hearings/Meetings,United States,Opinion Survey,,facetoface,No,128,Community Development,Collaborative delivery of services with public authorities,128,,No,en,Other,2011-08-23T03:04:04,Yes,Racial Unification,,,General Public,General Public,"Stakeholder Organizations (e.g. NGOs, Neighbourhood Associations, Industry Representatives)",,Academic Institution,"Local Government (e.g. Village, Town, City)",Non-Governmental Organization (Non-profit),2016-04-26T21:54:39,none,,
Dialogue,Public Report,Italy,Getting sense of room/group (i.e. no formal voting),2011-02-26T17:00:00,facetoface,Yes,129,"Planning (e.g. Urban planning, Transportation, etc.)",Consultation (i.e. to advise decision makers),129,1,No,en,Other,2011-08-29T03:43:23,Yes,Regional Integrated Transportation Plan,Facilitators,2011-02-26T09:00:00,Elected Public Official,General Public,Appointed Public Servants (e.g. Bureaucrats),,"Regional Government (e.g. State, Provincial, Territorial)",For Profit Business,"Local Government (e.g. Village, Town, City)",2016-04-26T16:12:23,none,Municipality of Bologna,
Discussion,Public Hearings/Meetings,Iceland,Voting,2009-11-06T17:00:00,facetoface,Yes,130,"Political Institutions (e.g. Constitutions, Legal Systems, Electoral Systems)",Consultation (i.e. to advise decision makers),130,1,No,en,Random Selection,2011-08-30T18:17:06,Yes,Constitutional Revision,Mostly volunteers w/ some paid,2009-11-06T09:00:00,General Public,General Public,Lay Public,950,National Government,Community Based Organization,National Government,2016-04-26T15:47:56,preferential,Gallup Polling Iceland,
Discussion,"New Media (i.e. internet, texting, etc)",Iceland,Voting,2011-07-29T17:00:00,both,No,131,"Political Institutions (e.g. Constitutions, Legal Systems, Electoral Systems)",Co-governance (i.e. to share decision making with public authorities),131,,No,en,Election,2011-08-31T22:20:30,Yes,Constitutional Revision,members of the public,2009-04-06T09:00:00,Elected Public Official,General Public,Elected Public Official,320000,National Government,National Government,National Government,2016-05-29T00:33:27,none,,
Dialogue,Public Hearings/Meetings,Italy,Getting sense of room/group (i.e. no formal voting),,facetoface,Yes,132,Community Development,Co-governance (i.e. to share decision making with public authorities),132,,No,en,Open to all,2011-09-15T23:43:28,Yes,Municipal Participatory Planning,Local Government representatives,,Elected Public Official,General Public,Lay Public,900,"Local Government (e.g. Village, Town, City)","Local Government (e.g. Village, Town, City)","Local Government (e.g. Village, Town, City)",2016-05-29T00:33:08,none,,
Discussion,"New Media (i.e. internet, texting, etc)",Italy,Opinion Survey,,facetoface,Yes,133,"Planning (e.g. Urban planning, Transportation, etc.)",Consultation (i.e. to advise decision makers),133,,Yes,en,Open to all,2011-09-16T00:24:28,Yes,Participatory Landscape Planning,External consulting agency (Laboratorio Urbano Aperto),2003-08-03T09:00:00,General Public,General Public,"Experts (e.g. Scientists, Engineers, Criminologists, Doctors, Lawyers)",,"Local Government (e.g. Village, Town, City)",Non-Governmental Organization (Non-profit),Individual,2016-04-24T21:23:18,none,,4347
Discussion,"New Media (i.e. internet, texting, etc)",Spain,Getting sense of room/group (i.e. no formal voting),,facetoface,No,134,Environment,Raise public awareness,134,,Yes,es,Open to all,2011-09-19T01:23:14,Yes,,,2009-12-01T09:00:00,General Public,General Public,Lay Public,270,,Community Based Organization,Non-Governmental Organization (Non-profit),2016-04-24T15:57:38,none,,
Organized Demonstrations,Policy Recommendations,Belgium,Voting,2009-10-18T17:00:00,facetoface,No,135,"Planning (e.g. Urban planning, Transportation, etc.)",Raise public awareness,135,1,No,en,Open to all,2011-09-19T13:07:08,Yes,direct democracy,Professionals,2009-10-18T09:00:00,Appointed Public Servants (e.g. bureaucrats),General Public,Lay Public,210000,"Local Government (e.g. Village, Town, City)","Local Government (e.g. Village, Town, City)","Regional Government (e.g. State, Provincial, Territorial)",2016-05-29T00:31:42,majority,,
Dialogue,Policy Recommendations,Italy,Getting sense of room/group (i.e. no formal voting),,facetoface,Yes,136,Community Development,Consultation (i.e. to advise decision makers),136,,No,en,Open to all,2011-10-24T03:53:00,Yes,Municipal Participatory Planning,,,Elected Public Official,Students,Lay Public,,"Regional Government (e.g. State, Provincial, Territorial)","Regional Government (e.g. State, Provincial, Territorial)","Local Government (e.g. Village, Town, City)",2016-04-24T15:26:53,none,,
Dialogue,Public Hearings/Meetings,Albania,Not Applicable,,facetoface,Yes,137,"Planning (e.g. Urban planning, Transportation, etc.)",Consultation (i.e. to advise decision makers),137,,No,en,Open to all,2011-10-24T04:16:52,Yes,Comprehensive Long-term Municipal Development Plan,,,General Public,General Public,Lay Public,,"Local Government (e.g. Village, Town, City)",Non-Governmental Organization (Non-profit),Other,2016-04-23T21:54:06,none,,
Express opinions/preferences only,Public Report,Italy,Voting,2008-10-11T17:00:00,facetoface,Yes,138,"Planning (e.g. Urban planning, Transportation, etc.)",Community building (e.g. social capital),138,4,No,en,Open to all with targeted recruitment,2011-10-31T02:29:05,Yes,Public Space Renewal,,2008-05-17T09:00:00,Elected Public Official,General Public,Lay Public,200,"Local Government (e.g. Village, Town, City)","Local Government (e.g. Village, Town, City)","Local Government (e.g. Village, Town, City)",2016-04-23T20:44:38,consensus,Sociolab ,
Dialogue,Public Report,Italy,Getting sense of room/group (i.e. no formal voting),,facetoface,Yes,139,"Planning (e.g. Urban planning, Transportation, etc.)",Make public decisions (i.e. exert direct authority),139,3,No,en,Open to all with targeted recruitment,2011-10-31T03:02:44,Yes,Urban Redevelopment,,,Elected Public Official,General Public,Appointed Public Servants (e.g. Bureaucrats),32,"Local Government (e.g. Village, Town, City)","Local Government (e.g. Village, Town, City)","Local Government (e.g. Village, Town, City)",2016-04-23T21:05:03,none,ACER,
or Deliberation,Policy Recommendations,Italy,Getting sense of room/group (i.e. no formal voting),2009-03-31T17:00:00,facetoface,Yes,140,"Planning (e.g. Urban planning, Transportation, etc.)",Consultation (i.e. to advise decision makers),140,,No,en,Open to all with targeted recruitment,2011-10-31T17:46:41,Yes,Municipal Participatory Planning,,2008-12-31T16:00:00,Elected Public Official,General Public,"Stakeholder Organizations (e.g. NGOs, Neighbourhood Associations, Industry Representatives)",50,"Local Government (e.g. Village, Town, City)",For Profit Business,"Regional Government (e.g. State, Provincial, Territorial)",2016-05-29T00:29:05,none,,786
Express opinions/preferences only,"New Media (i.e. internet, texting, etc)",Italy,Opinion Survey,,both,No,141,Community Development,Raise public awareness,141,,No,en,Open to all,2011-10-31T18:02:33,Yes,Comprehensive Long-term Municipal Development Plan,,,General Public,General Public,Lay Public,,"Local Government (e.g. Village, Town, City)","Local Government (e.g. Village, Town, City)","Local Government (e.g. Village, Town, City)",2016-04-23T15:39:19,none,,
Discussion,Public Report,Italy,Other,2009-06-03T16:00:00,facetoface,Yes,142,"Planning (e.g. Urban planning, Transportation, etc.)",Co-governance (i.e. to share decision making with public authorities),142,4,No,en,Open to all,2011-11-02T01:00:41,Yes,public policy forum,Trained Facilitators,2009-03-16T02:00:00,Elected Public Official,General Public,"Stakeholder Organizations (e.g. NGOs, Neighbourhood Associations, Industry Representatives)",120,"Local Government (e.g. Village, Town, City)","Local Government (e.g. Village, Town, City)","Local Government (e.g. Village, Town, City)",2013-03-11T15:31:17,none,,
Negotiate &amp; Bargain,Policy Recommendations,Italy,Getting sense of room/group (i.e. no formal voting),,facetoface,No,143,Budgeting,Co-governance (i.e. to share decision making with public authorities),143,,Yes,en,Open to all,2011-10-29T23:35:33,Yes,Municipal Participatory Planning,,1986-12-31T16:00:00,Elected Public Official,General Public,Lay Public,5000,"Regional Government (e.g. State, Provincial, Territorial)","Local Government (e.g. Village, Town, City)",Community Based Organization,2016-04-23T21:32:13,none,ARCI,
or Deliberation,Public Report,Italy,Other,2009-12-27T16:00:00,facetoface,Yes,144,Environment,Raise public awareness,144,7,No,en,Open to all with targeted recruitment,2011-11-09T00:28:04,Yes,Sustainable Lifestyle,Trained Facilitators,2009-06-27T17:00:00,"Organized Groups (e.g. NGOs, Business Associations)",General Public,Lay Public,120,"Regional Government (e.g. State, Provincial, Territorial)","Local Government (e.g. Village, Town, City)",Community Based Organization,2016-04-23T14:57:32,none,Tarabaralla Cultural Association,
Dialogue,,Australia,Getting sense of room/group (i.e. no formal voting),2004-10-31T05:00:00,facetoface,Yes,4553,"Planning (e.g. Urban planning, Transportation, etc.)",Consultation (i.e. to advise decision makers),145,3,No,en,Appointment,2016-08-23T02:04:27,Yes,,,2004-10-29T07:00:00,General Public,General Public,Lay Public,140,"Regional Government (e.g. State, Provincial, Territorial)",,,2016-08-23T06:29:13,none,,4456
Discussion,Policy Recommendations,United States,Voting,,both,Yes,766,Budgeting,Community building (e.g. social capital),146,,Yes,de,Open to all with targeted recruitment,2013-01-19T12:20:25,Yes,Municipal Participatory Budgeting,Council Member&#039;s Staffers,,Elected Public Official,General Public,"Stakeholder Organizations (e.g. NGOs, Neighbourhood Associations, Industry Representatives)",,"Local Government (e.g. Village, Town, City)",Non-Governmental Organization (Non-profit),Academic Institution,2016-05-28T22:16:50,preferential,District Wide Steering Committees,4377
Other,Policy Recommendations,Belgium,Not Applicable,,both,No,386,Other,Co-governance (i.e. to share decision making with public authorities),147,,Yes,en,Open to all,2011-11-30T17:16:11,Yes,Policy Petition,,,Appointed Public Servants (e.g. bureaucrats),General Public,Lay Public,1000000,International Organization,International Organization,Community Based Organization,2016-05-29T00:26:36,none,,1106
Discussion,"New Media (i.e. internet, texting, etc)",United States,Voting,,online,No,398,"Political Institutions (e.g. Constitutions, Legal Systems, Electoral Systems)","Develop individual capacities (e.g. skills, learning)",148,,No,en,Open to all,2011-12-02T22:12:30,Yes,Voter Information,,,General Public,General Public,Lay Public,,Philanthropic Organization (i.e. dedicated to making monetary grants or gifts),Academic Institution,"Local Government (e.g. Village, Town, City)",2016-04-21T15:49:41,none,,539
Discussion,"New Media (i.e. internet, texting, etc)",United States,Getting sense of room/group (i.e. no formal voting),,facetoface,Yes,419,Other,Consultation (i.e. to advise decision makers),149,,Yes,en,,2011-12-08T19:01:09,Yes,food and health disparties,,,Elected Public Official,,,150,,Other,,2016-05-29T00:27:14,none,Riverside Church,421
Discussion,Policy Recommendations,Brazil,Voting,2010-08-05T17:00:00,facetoface,Yes,426,Budgeting,Community building (e.g. social capital),150,10,No,pt,Open to all,2011-12-20T17:19:48,Yes,Municipal Participatory Budgeting,,2010-07-15T09:00:00,Elected Public Official,General Public,Lay Public,,"Local Government (e.g. Village, Town, City)","Local Government (e.g. Village, Town, City)",Faith-Based Organization,2016-05-25T22:16:04,preferential,,
